Topics,Sub-Topics,Query
Employee Categories,Per Diem Employee,Help me with per diem
Employee Categories,Per Diem Employee,Help me with Per diem
Voluntary Programs,Volunteer Services Department,Volunteer Services Department
Voluntary Programs,Volunteer Contact,volunteer contact
Voluntary Programs,Program Contact,Program contat
Voluntary Programs,Volunteer Contact,Volunteer contact
Voluntary Programs,Volunteer Program Information,Help me with Volunteer
Employee Relations,Complaint Process,complaint process
Family Leave,SFPPL Contact Number,Contact number for SFPPL
Leave of Absence,Bank Sick Leave Usage,when can an employee in ncal region use her bank sick?
Family Leave,SFPPL Pay,how employee will get paid during SFPPL
Badge ID,New Hire ID Badge Location,where do employee get their ID badge for new hire?
HR Connect,Employee Information Deletion Form,is there a form on hrconnect that an employee can fill out to delete their information in the system?
PTO Policy,Sick to Vacation Conversion for Family Leave,Is it possible to convert sick to vacation for a family leave
Forms,TRO Form,Help me with TRO
Account Access,Revoke Access,revoke access
Education Assistance,Bachelor's Degree Reimbursement,bachelor's degree
Employee Categories,Non-Represented Employees,For non-represented employees in northern California
Account Access,Ping ID Access,ping id access
Forms,2090 Form Retroactive Application,retro active apply of 2090
Leave of Absence,Personal Leave Request,personal leave
Leave of Absence,Personal Leave Colorado,personal leave for colorado
Benefits Reinstatement,Benefits Reinstatement After LOA,when will the benefits be reinstated when an ee in ncal region go back to work?
Pay Differential,Shift Differential Discrepancy,"let me rephrase would it be normal for colleagues in the same position for NON represented position receive different shift differential, for instance one colleague makes a $13 and the other colleague makes $14 in shift diff?"
Education Assistance,Bachelor's Degree Reimbursement,Help me with bachelors
Education Assistance,BSN Reimbursement,Help me with BSN
Forms,RIHC Form,Help me with RIHC
Retirement & Savings Plan,Enhanced Catch-up for TPMG,is enhanced catch up applicable for TPMG?
Applications and Software,Insight Scheduler,INSIGHT SCHEDULER
Technical Support,KAI Virtual Assistance,how to assist with KAI Virtual assistance?
Business/Finance,Business Identification Number,business identification number
Disability Benefits,SDI Claim Extension Contact,who should an employee contact for extending their SDI claim?
Insurance & Benefits,Insurance Inquiry,Help me with insurance
Retirement & Savings Plan,Retirement Date Change,How the employee change the upcoming retirement date?
Retirement & Savings Plan,Retirement Date Change,How the employee change the upcoming retirment date?
Legal & Compliance Issue,Subpoena Payment Amount,If the request is received with payment: 15 business days for subpoena what is the payment amount
Legal & Compliance Issue,Legal Matter Assistance,legal matter
Legal & Compliance Issue,Third-Party Requests,3rd party request
Employee Separation,Resignation Process,How to tell your manager that you want to resign but not directly?
Employment Verification,Third Party Verifier,third party verififer
Benefits Enrollment,Domestic Partner to Spouse Coverage,DP to spouse
Forms,Meal Waiver Form Frequency,how many times do you have to filled out the meal waiver form?
Leave of Absence,Vacation Accrual for Leave,"what is the meaning of this ""You must use all but one week of your accrued vacation in conjunction with your leave."""
Case Management,Case Escalation for Hold Cases,escalation for hold case
Forms,1480 Form for Program Offices,is there an option for the NHRSC to provide the revised 1480 to the employee in Program Offices?
Medical Care,Continuing Care,continueing care
Medical Care,Continuing Care,continueing care
Overpayments,Overpayment Credit Card Payment Discrepancy,Why it showing less amount if you use credit card payment in the overpayment?
Holiday Pay,Part-Time SCAL Holiday Pay,part time SCAL holiday
FMLA,FMLA Benefit Protection Duration,how long can ee benefit protected after fmla for the mas ee
FMLA,FMLA Benefit Protection Duration,HOW LONG CAN EE BENEFIT WILL BE PROTECTED AFTER THE FMLA
Timekeeping & Attendance,Time Off Request,3 more days
Timekeeping & Attendance,Time Off Request,2 days out
Sick Leave,Sick Leave Accrual Calculation,"If a fulltime employee receives 96 sick leave hours per year and a part time employee's hours earnings is to be prorated on the basis of that of the fulltime employee's, how many hours is the yearly frontload of the part time employee working 20 hours per week?"
Sick Leave,Sick Leave Accrual Calculation,"If a fulltime employee receives 96 hsick leave ours per year and a part time employee's hours earnings is to be prorated on the basis of the fulltime employee's time earnings, how many hours is the yearly frontload of the part time employee working for 20 hours per week?"
Sick Leave,Sick Time Accrual Usage,sick time accruals when to use
Employee Information,Address Update,Help me with address
Family Leave,Intermittent Bonding Leave,intermittent bonding
Insurance & Benefits,Insurance Card,insurance card
Employee Categories,Non-Union Employees,Non union?
Employee Categories,Non-Union Employees,What is non union?
Leave of Absence,Industrial Leave Bridging,does industrial leave has a bridging leave?
Worker's Compensation,Worker's Compensation Bridging Leave,does workers compensation has bridging leave?
Timekeeping & Attendance,Attendance Line,attendance line
Timekeeping & Attendance,Southern California Attendance Line,Southern California Attendance Line phone number
Technical Support,KP Email Issues,issues regarding kp email
Technical Support,KP Email Error Resolution,how to fix an error when sending messages to KP email?
Technical Support,KP Email Error Resolution,how to fix an error when sending messages to KP emai?
Technical Support,KP Email Error,KP email error
Employee Information,Personal Data Update,personal data update
Leave of Absence,CESLA Hours for Family Leave,HOW MANY CESLA HOURS CAN BE USED WHILE ON FAMILY LEAVE?
FMLA,FMLA for On-Call to Benefited Employees,fmla oncall to benefited
Deductions,Involuntary Deduction,involuntary deduction
Contact Information,Kaiser Contact Number,kaiser number
Employee Categories,ACP Employee Definition,what is an ACP employee means?
Family Leave,PFL Coverage for Family Care and Bonding,does PFL covers both family care and bonding
Forms,Paperless Forms,Help me with PAper
Forms,Paperless Forms,Help me with paperles
HR Policies,Grade Ladder,grade ladder
Timekeeping & Attendance,Leave Early,leave early
Leave of Absence,Leave Accrual,lEAVE ACCRUAL
